method,noise_level,noise_amp,noise_type,test_case,classifier,difficulty,precision,recall,f1,accuracy,confusion_matrix,n_classes,clean_tp,clean_fp,clean_fn,clean_tn,clean_precision,clean_recall,clean_f1,method_base,test_case_base,precision_base,recall_base,f1_base,accuracy_base,confusion_matrix_base,n_classes_base,clean_tp_base,clean_fp_base,clean_fn_base,clean_tn_base,clean_precision_base,clean_recall_base,clean_f1_base,f1_delta,precision_delta
regression_cleaning,0.1,0.3,attributes,RandomForestClassifier_regression_cleaning_attributes_0.1x0.3,RandomForestClassifier,2,0.12388791356767231,0.1254681647940075,0.12405849575955516,0.1254681647940075,"[[ 9 34  0  6  5  8]
 [22  6  0 17  1  6]
 [ 0  0 25  2 26 78]
 [ 5 17  9  4  0 25]
 [10  0 21  0  4 33]
 [ 4  4 93 23 18 19]]",6,,,,,,,,baseline,RandomForestClassifier_baseline_attributes_0.1x0.3,0.12160626895219262,0.1198501872659176,0.1201016552504888,0.1198501872659176,"[[10 34  0  6  5  7]
 [22  7  0 15  1  7]
 [ 0  0 20  2 26 83]
 [ 6 15  8  5  0 26]
 [ 7  0 20  0  7 34]
 [ 5  3 98 23 17 15]]",6,,,,,,,,0.003956840509066362,0.0022816446154796943
regression_cleaning,0.1,0.3,attributes,KNeighborsClassifier_regression_cleaning_attributes_0.1x0.3,KNeighborsClassifier,0,0.9881841044207187,0.9881683526011561,0.9881630693736099,0.9881683526011561,"[[1565    0    5    0    1    0    1]
 [   0 1698    0    0    0    0    0]
 [  15    1 1588    0    3    0    1]
 [   0    0    0 1481    0    2   26]
 [   0    0    6    0 1595    0    4]
 [   5    0    0    6    0 1600    3]
 [   3    0    3   37    7    2 1414]]",7,,,,,,,,baseline,KNeighborsClassifier_baseline_attributes_0.1x0.3,0.9867596668002874,0.9867232658959537,0.9867294942741831,0.9867232658959537,"[[1557    0   12    0    0    2    1]
 [   0 1698    0    0    0    0    0]
 [  14    1 1592    0    1    0    0]
 [   0    0    0 1480    0    5   24]
 [   0    0   13    1 1588    0    3]
 [   5    0    0   10    0 1590    9]
 [   1    0    2   35    6    2 1420]]",7,,,,,,,,0.0014335750994267649,0.001424437620431318
regression_cleaning,0.1,0.3,attributes,KNeighborsClassifier_regression_cleaning_attributes_0.1x0.3,KNeighborsClassifier,1,0.5422179860955371,0.5238095238095238,0.5280904191315813,0.5238095238095238,"[[40  0 20  0  1  2  3]
 [ 0  2  0  0  0  0  0]
 [ 9  0 26  0  4  0  1]
 [ 0  0  0 27  0  3 30]
 [ 0  0  6  2 21  0  6]
 [ 1  0  0  2  0 10  5]
 [ 2  0  4 29  4  6 28]]",7,,,,,,,,baseline,KNeighborsClassifier_baseline_attributes_0.1x0.3,0.5907585949192055,0.5748299319727891,0.5794006097285186,0.5748299319727891,"[[44  0 15  0  0  2  5]
 [ 0  2  0  0  0  0  0]
 [11  1 24  0  2  0  2]
 [ 0  0  0 32  1  5 22]
 [ 0  0  8  2 21  0  4]
 [ 0  0  0  3  0 10  5]
 [ 1  0  2 22  5  7 36]]",7,,,,,,,,-0.05131019059693731,-0.048540608823668396
regression_cleaning,0.1,0.3,attributes,KNeighborsClassifier_regression_cleaning_attributes_0.1x0.3,KNeighborsClassifier,2,0.14111909921027838,0.14232209737827714,0.14134006927545537,0.14232209737827714,"[[17 26  0  3  4 12]
 [23  7  0 15  2  5]
 [ 0  0 18  4 26 83]
 [ 2 18 10 10  0 20]
 [10  0 21  1  2 34]
 [ 6  3 95 21 14 22]]",6,,,,,,,,baseline,KNeighborsClassifier_baseline_attributes_0.1x0.3,0.1360485082508766,0.13670411985018727,0.13541274893091154,0.13670411985018727,"[[14 29  1  2  2 14]
 [21  9  0 13  1  8]
 [ 0  0 18  3 28 82]
 [ 5 14  8  5  0 28]
 [ 9  0 23  0  3 33]
 [ 4  4 93 21 15 24]]",6,,,,,,,,0.005927320344543824,0.005070590959401766
regression_cleaning,0.1,0.3,attributes,GradientBoostingClassifier_regression_cleaning_attributes_0.1x0.3,GradientBoostingClassifier,0,0.9898024802751243,0.9897940751445087,0.9897943636743085,0.9897940751445087,"[[1559    0    8    0    0    3    2]
 [   0 1698    0    0    0    0    0]
 [  11    0 1593    0    4    0    0]
 [   0    0    0 1487    1    2   19]
 [   2    0    3    1 1597    0    2]
 [   4    0    0    6    0 1595    9]
 [   3    0    0   22    8    3 1430]]",7,,,,,,,,baseline,GradientBoostingClassifier_baseline_attributes_0.1x0.3,0.9930535910542264,0.9930455202312138,0.9930471024690348,0.9930455202312138,"[[1563    0    7    0    0    2    0]
 [   0 1696    0    0    2    0    0]
 [  10    0 1598    0    0    0    0]
 [   0    0    0 1492    2    1   14]
 [   0    0    1    1 1602    0    1]
 [   1    0    0    8    0 1599    6]
 [   2    0    0   13    4    2 1445]]",7,,,,,,,,-0.0032527387947263176,-0.0032511107791021177
regression_cleaning,0.1,0.3,attributes,GradientBoostingClassifier_regression_cleaning_attributes_0.1x0.3,GradientBoostingClassifier,1,0.43665560027257244,0.41496598639455784,0.4192151431488101,0.41496598639455784,"[[25  1 28  0  4  1  7]
 [ 0  1  1  0  0  0  0]
 [14  0 17  0  7  0  2]
 [ 0  0  0 24  0  7 29]
 [ 1  0  9  1 16  0  8]
 [ 1  0  0  3  0  9  5]
 [ 3  0  4 28  5  3 30]]",7,,,,,,,,baseline,GradientBoostingClassifier_baseline_attributes_0.1x0.3,0.47127350971331405,0.4523809523809524,0.4561930411686414,0.4523809523809524,"[[26  1 28  0  3  3  5]
 [ 1  0  1  0  0  0  0]
 [15  0 17  0  6  0  2]
 [ 0  0  0 30  0  6 24]
 [ 0  0  9  1 18  0  7]
 [ 1  0  0  2  0  8  7]
 [ 3  0  2 25  4  5 34]]",7,,,,,,,,-0.03697789801983131,-0.03461790944074161
regression_cleaning,0.1,0.3,attributes,GradientBoostingClassifier_regression_cleaning_attributes_0.1x0.3,GradientBoostingClassifier,2,0.10716342813364593,0.10861423220973783,0.10724281465617239,0.10861423220973783,"[[ 7 34  0  5  4 12]
 [22  7  0 17  1  5]
 [ 1  0 20  3 27 80]
 [ 5 17 11  1  0 26]
 [ 9  0 22  1  6 30]
 [ 3  2 97 23 19 17]]",6,,,,,,,,baseline,GradientBoostingClassifier_baseline_attributes_0.1x0.3,0.07319379094903178,0.07303370786516854,0.07268980229082586,0.07303370786516854,"[[  6  35   0   5   5  11]
 [ 23   6   0  16   2   5]
 [  1   0  14   5  27  84]
 [  5  15   9   3   0  28]
 [  8   1  23   1   5  30]
 [  7   3 105  23  18   5]]",6,,,,,,,,0.034553012365346525,0.033969637184614154
regression_cleaning,0.1,0.3,attributes,SVC_regression_cleaning_attributes_0.1x0.3,SVC,0,0.9968421041694516,0.9968388728323699,0.9968394171898957,0.9968388728323699,"[[1566    0    4    0    0    1    1]
 [   0 1698    0    0    0    0    0]
 [   2    0 1605    0    1    0    0]
 [   0    0    0 1501    0    2    6]
 [   0    0    2    0 1602    0    1]
 [   2    0    0    2    0 1606    4]
 [   0    0    1    4    2    0 1459]]",7,,,,,,,,baseline,SVC_baseline_attributes_0.1x0.3,0.9991883734282433,0.9991871387283237,0.9991871303050157,0.9991871387283237,"[[1570    0    2    0    0    0    0]
 [   0 1698    0    0    0    0    0]
 [   1    0 1607    0    0    0    0]
 [   0    0    0 1509    0    0    0]
 [   0    0    0    0 1605    0    0]
 [   0    0    0    2    0 1612    0]
 [   0    0    0    2    2    0 1462]]",7,,,,,,,,-0.0023477131151200537,-0.0023462692587916667
regression_cleaning,0.1,0.3,attributes,SVC_regression_cleaning_attributes_0.1x0.3,SVC,1,0.5152304607615228,0.4897959183673469,0.49213058107152735,0.4897959183673469,"[[30  0 30  0  1  0  5]
 [ 0  2  0  0  0  0  0]
 [14  0 19  0  4  0  3]
 [ 0  0  0 26  0  2 32]
 [ 0  0  7  1 22  0  5]
 [ 3  0  0  3  0  4  8]
 [ 2  0  4 18  5  3 41]]",7,,,,,,,,baseline,SVC_baseline_attributes_0.1x0.3,0.5509396395350776,0.5238095238095238,0.5181229312070788,0.5238095238095238,"[[22  0 32  0  2  1  9]
 [ 0  2  0  0  0  0  0]
 [10  0 26  0  3  0  1]
 [ 0  0  0 28  0  0 32]
 [ 0  0  5  1 24  0  5]
 [ 3  0  0  3  0  6  6]
 [ 2  0  0 18  5  2 46]]",7,,,,,,,,-0.0259923501355514,-0.03570917877355484
regression_cleaning,0.1,0.3,attributes,SVC_regression_cleaning_attributes_0.1x0.3,SVC,2,0.04278341946520259,0.04307116104868914,0.04263610197838181,0.04307116104868914,"[[ 2 38  0  5  6 11]
 [27  0  0 17  1  7]
 [ 0  0  5  3 29 94]
 [ 2 18  8  3  0 29]
 [10  0 19  0  2 37]
 [ 5  3 99 28 15 11]]",6,,,,,,,,baseline,SVC_baseline_attributes_0.1x0.3,0.02702301172168856,0.024344569288389514,0.025364384797645856,0.024344569288389514,"[[  3  38   0   4   5  12]
 [ 26   0   0  17   1   8]
 [  0   0   0   4  29  98]
 [  2  19   8   2   0  29]
 [ 11   0  17   1   3  36]
 [  4   4 107  27  14   5]]",6,,,,,,,,0.017271717180735953,0.01576040774351403
regression_cleaning,0.1,0.3,attributes,MLPClassifier_regression_cleaning_attributes_0.1x0.3,MLPClassifier,0,0.9906843627520634,0.990606936416185,0.9906145082370628,0.990606936416185,"[[1560    0    9    0    0    3    0]
 [   0 1698    0    0    0    0    0]
 [  18    0 1586    0    3    0    1]
 [   1    0    0 1472    0    1   35]
 [   2    0    2    0 1600    0    1]
 [   7    0    0    3    0 1599    5]
 [   1    0    1    6    4    1 1453]]",7,,,,,,,,baseline,MLPClassifier_baseline_attributes_0.1x0.3,0.9917112823484104,0.9916907514450867,0.9916908249409988,0.9916907514450867,"[[1558    0   10    0    0    2    2]
 [   0 1698    0    0    0    0    0]
 [   8    1 1597    0    2    0    0]
 [   0    0    0 1489    2    6   12]
 [   2    0   10    0 1589    0    4]
 [   5    0    0    0    0 1608    1]
 [   2    0    6    4    4    9 1441]]",7,,,,,,,,-0.0010763167039360422,-0.0010269195963470423
regression_cleaning,0.1,0.3,attributes,MLPClassifier_regression_cleaning_attributes_0.1x0.3,MLPClassifier,1,0.5327716592547388,0.5068027210884354,0.5043167754285012,0.5068027210884354,"[[32  1 25  1  0  2  5]
 [ 0  2  0  0  0  0  0]
 [13  0 19  0  5  0  3]
 [ 0  0  0 20  1  3 36]
 [ 0  0  9  1 20  0  5]
 [ 2  0  0  1  0  6  9]
 [ 1  0  1 15  3  3 50]]",7,,,,,,,,baseline,MLPClassifier_baseline_attributes_0.1x0.3,0.5229321558228933,0.47959183673469385,0.47733428604368006,0.47959183673469385,"[[24  1 30  0  2  1  8]
 [ 1  1  0  0  0  0  0]
 [10  0 27  0  2  0  1]
 [ 0  0  0 27  0  3 30]
 [ 0  0 15  2 11  0  7]
 [ 2  0  0  0  0  9  7]
 [ 0  0  3 18  4  6 42]]",7,,,,,,,,0.026982489384821118,0.009839503431845475
regression_cleaning,0.1,0.3,attributes,MLPClassifier_regression_cleaning_attributes_0.1x0.3,MLPClassifier,2,0.08497741900648736,0.0898876404494382,0.08650364464854628,0.0898876404494382,"[[ 5 35  0  5  4 13]
 [26  2  0 17  1  6]
 [ 0  0  6  4 29 92]
 [ 2 20  7  3  0 28]
 [11  0 16  1  4 36]
 [ 6  2 83 24 18 28]]",6,,,,,,,,baseline,MLPClassifier_baseline_attributes_0.1x0.3,0.07963963921137462,0.08052434456928839,0.07958844604146516,0.08052434456928839,"[[ 6 37  0  3  7  9]
 [27  4  0 14  1  6]
 [ 0  0  2  3 32 94]
 [ 2 20  8  4  0 26]
 [ 9  1 15  0 11 32]
 [ 5  2 93 24 21 16]]",6,,,,,,,,0.006915198607081119,0.00533777979511274
regression_cleaning,0.2,0.1,attributes,RandomForestClassifier_regression_cleaning_attributes_0.2x0.1,RandomForestClassifier,0,0.9903452500387024,0.9903359826589595,0.9903320500540741,0.9903359826589595,"[[1562    0    6    0    1    2    1]
 [   0 1698    0    0    0    0    0]
 [  16    1 1581    0    7    0    3]
 [   0    0    0 1487    2    3   17]
 [   1    0    2    0 1599    0    3]
 [   1    0    0    7    0 1605    1]
 [   2    0    1   23    3    4 1433]]",7,,,,,,,,baseline,RandomForestClassifier_baseline_attributes_0.2x0.1,0.9918813013753712,0.991871387283237,0.9918699300839867,0.991871387283237,"[[1562    0    7    0    0    1    2]
 [   0 1698    0    0    0    0    0]
 [  18    2 1583    0    5    0    0]
 [   0    0    0 1495    1    2   11]
 [   0    0    1    0 1598    0    6]
 [   0    0    0    8    0 1604    2]
 [   4    0    1   12    2    5 1442]]",7,,,,,,,,-0.0015378800299126194,-0.0015360513366687867
regression_cleaning,0.2,0.1,attributes,RandomForestClassifier_regression_cleaning_attributes_0.2x0.1,RandomForestClassifier,1,0.48069341372912805,0.47959183673469385,0.47894682048335435,0.47959183673469385,"[[46  1 11  0  4  1  3]
 [ 2  0  0  0  0  0  0]
 [13  0 17  0  7  0  3]
 [ 0  0  0 25  0  6 29]
 [ 0  0 11  1 13  0 10]
 [ 0  0  0  4  0 11  3]
 [ 3  0  3 26  6  6 29]]",7,,,,,,,,baseline,RandomForestClassifier_baseline_attributes_0.2x0.1,0.49180740258346917,0.4931972789115646,0.49134868646600915,0.4931972789115646,"[[44  1 12  0  3  1  5]
 [ 2  0  0  0  0  0  0]
 [13  0 19  0  7  0  1]
 [ 0  0  0 33  0  5 22]
 [ 0  0 11  1 12  0 11]
 [ 0  0  0  4  0 10  4]
 [ 4  0  1 28  7  6 27]]",7,,,,,,,,-0.012401865982654803,-0.011113988854341117
regression_cleaning,0.2,0.1,attributes,RandomForestClassifier_regression_cleaning_attributes_0.2x0.1,RandomForestClassifier,2,0.1311056688712383,0.13108614232209737,0.13047172429786782,0.13108614232209737,"[[12 32  0  5  5  8]
 [21  7  0 17  2  5]
 [ 0  0 22  2 28 79]
 [ 5 16  9  4  0 26]
 [ 9  0 22  0  5 32]
 [ 4  3 96 21 17 20]]",6,,,,,,,,baseline,RandomForestClassifier_baseline_attributes_0.2x0.1,0.13143691694794987,0.12921348314606743,0.1297663407502311,0.12921348314606743,"[[12 32  0  5  4  9]
 [20  9  0 16  1  6]
 [ 0  0 19  2 28 82]
 [ 7 13  9  6  0 25]
 [ 8  0 23  0  8 29]
 [ 5  2 99 25 15 15]]",6,,,,,,,,0.0007053835476367176,-0.00033124807671156
regression_cleaning,0.2,0.1,attributes,KNeighborsClassifier_regression_cleaning_attributes_0.2x0.1,KNeighborsClassifier,0,0.9881841044207187,0.9881683526011561,0.9881630693736099,0.9881683526011561,"[[1565    0    5    0    1    0    1]
 [   0 1698    0    0    0    0    0]
 [  15    1 1588    0    3    0    1]
 [   0    0    0 1481    0    2   26]
 [   0    0    6    0 1595    0    4]
 [   5    0    0    6    0 1600    3]
 [   3    0    3   37    7    2 1414]]",7,,,,,,,,baseline,KNeighborsClassifier_baseline_attributes_0.2x0.1,0.9867596668002874,0.9867232658959537,0.9867294942741831,0.9867232658959537,"[[1557    0   12    0    0    2    1]
 [   0 1698    0    0    0    0    0]
 [  14    1 1592    0    1    0    0]
 [   0    0    0 1480    0    5   24]
 [   0    0   13    1 1588    0    3]
 [   5    0    0   10    0 1590    9]
 [   1    0    2   35    6    2 1420]]",7,,,,,,,,0.0014335750994267649,0.001424437620431318
regression_cleaning,0.2,0.1,attributes,KNeighborsClassifier_regression_cleaning_attributes_0.2x0.1,KNeighborsClassifier,1,0.5422179860955371,0.5238095238095238,0.5280904191315813,0.5238095238095238,"[[40  0 20  0  1  2  3]
 [ 0  2  0  0  0  0  0]
 [ 9  0 26  0  4  0  1]
 [ 0  0  0 27  0  3 30]
 [ 0  0  6  2 21  0  6]
 [ 1  0  0  2  0 10  5]
 [ 2  0  4 29  4  6 28]]",7,,,,,,,,baseline,KNeighborsClassifier_baseline_attributes_0.2x0.1,0.5907585949192055,0.5748299319727891,0.5794006097285186,0.5748299319727891,"[[44  0 15  0  0  2  5]
 [ 0  2  0  0  0  0  0]
 [11  1 24  0  2  0  2]
 [ 0  0  0 32  1  5 22]
 [ 0  0  8  2 21  0  4]
 [ 0  0  0  3  0 10  5]
 [ 1  0  2 22  5  7 36]]",7,,,,,,,,-0.05131019059693731,-0.048540608823668396
regression_cleaning,0.2,0.1,attributes,KNeighborsClassifier_regression_cleaning_attributes_0.2x0.1,KNeighborsClassifier,2,0.14111909921027838,0.14232209737827714,0.14134006927545537,0.14232209737827714,"[[17 26  0  3  4 12]
 [23  7  0 15  2  5]
 [ 0  0 18  4 26 83]
 [ 2 18 10 10  0 20]
 [10  0 21  1  2 34]
 [ 6  3 95 21 14 22]]",6,,,,,,,,baseline,KNeighborsClassifier_baseline_attributes_0.2x0.1,0.1360485082508766,0.13670411985018727,0.13541274893091154,0.13670411985018727,"[[14 29  1  2  2 14]
 [21  9  0 13  1  8]
 [ 0  0 18  3 28 82]
 [ 5 14  8  5  0 28]
 [ 9  0 23  0  3 33]
 [ 4  4 93 21 15 24]]",6,,,,,,,,0.005927320344543824,0.005070590959401766
regression_cleaning,0.2,0.1,attributes,GradientBoostingClassifier_regression_cleaning_attributes_0.2x0.1,GradientBoostingClassifier,0,0.9896218560267938,0.9896134393063584,0.9896144434566427,0.9896134393063584,"[[1558    0    8    0    0    4    2]
 [   0 1698    0    0    0    0    0]
 [  11    0 1593    0    4    0    0]
 [   0    0    0 1486    1    2   20]
 [   2    0    3    1 1597    0    2]
 [   4    0    0    6    0 1595    9]
 [   3    0    0   23    7    3 1430]]",7,,,,,,,,baseline,GradientBoostingClassifier_baseline_attributes_0.2x0.1,0.9935071744130741,0.9934971098265896,0.9934989045339805,0.9934971098265896,"[[1564    0    6    0    0    2    0]
 [   0 1696    0    0    2    0    0]
 [   8    0 1598    0    1    0    1]
 [   0    0    0 1495    1    1   12]
 [   1    0    2    0 1602    0    0]
 [   0    0    0    9    0 1599    6]
 [   2    0    0   13    4    1 1446]]",7,,,,,,,,-0.003884461077337753,-0.0038853183862803675
